	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
2-oxobutyrate oxidase	0	0	0	0	0	2.00	1.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
2-oxoglutarate dehydrogenase	0	0	1.00	0	0	2.00	0	1.00	6.00	0	0	0	0	0	0	0	0	0	0	0	5.00	0	0	0
2-oxoglutarate dehydrogenase E1 component	3.00	2.00	0	1.00	0	4.00	11.00	0	4.00	6.00	0	1.00	1.00	3.00	0	5.00	0	5.00	1.00	4.00	1.00	0	0	0
2-oxoglutarate dehydrogenase E2	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase subunit E1	1.00	3.00	0	2.00	2.00	7.00	18.00	1.00	3.00	12.00	2.00	3.00	0	9.00	0	5.00	0	20.00	1.00	0	1.00	1.00	3.00	4.00
2-oxoglutarate dehydrogenase subunit E1, partial	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	6.00	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase, partial	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate ferredoxin oxidoreductase subunit alpha	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate ferredoxin oxidoreductase subunit alpha, partial	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
2-oxoglutarate ferredoxin oxidoreductase subunit beta	0	0	0	0	0	0	2.00	0	0	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2-oxoglutarate translocator, partial	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate-dependent dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0
2-oxoisovalerate dehydrogenase	0	1.00	1.00	0	0	2.00	1.00	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0
2-oxoisovalerate dehydrogenase subunit beta	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxopent-4-enoate hydratase	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
2-phospho-L-lactate transferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2-phosphosulfolactate phosphatase	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
2-polyprenyl-6-methoxyphenol 4-hydroxylase	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2-polyprenyl-6-methoxyphenol hydroxylase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0
2-polyprenyl-6-methoxyphenol hydroxylase-like oxidoreductase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2-polyprenylphenol 6-hydroxylase	1.00	0	0	0	0	0	0	0	0	2.00	0	1.00	0	0	0	0	0	2.00	0	0	0	0	0	0
2-pyrone-4,6-dicarboxylate hydrolase	0	0	0	0	0	2.00	2.00	0	0	2.00	0	0	0	0	0	1.00	0	5.00	0	1.00	0	0	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	1.00	0	2.00	0	0	3.00	7.00	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	5.00	0	0	1.00
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	1.00	2.00	0	0	0	2.00	3.00	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	2.00	0	0	0
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	0	0	0	0	0	4.00	6.00	1.00	0	3.00	0	0	2.00	0	1.00	0	0	0	0	0	3.00	0	2.00	0
2-succinylbenzoate-CoA ligase	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	2.00
2-vinyl bacteriochlorophyllide hydratase	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
23S rRNA (adenine(1618)-N(6))-methyltransferase	0	0	0	1.00	0	0	2.00	0	2.00	3.00	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	1.00	0
23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0	2.00	0	0	0	3.00	5.00	0	0	5.00	0	2.00	0	4.00	0	4.00	0	2.00	1.00	1.00	0	2.00	0	0
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
23S rRNA (adenine(2058)-N(6))-methyltransferase ErmA, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
23S rRNA (adenine(2503)-C(2))-methyltransferase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	3.00	0	0	1.00	1.00	9.00	16.00	0	2.00	10.00	1.00	4.00	2.00	2.00	0	4.00	0	4.00	0	2.00	4.00	0	0	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN, partial	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	1.00	1.00	1.00	0	0	5.00	0	0	0	1.00	0	0
23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23S rRNA (guanine(1835)-N(2))-methyltransferase	0	1.00	0	0	3.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase	0	0	0	0	1.00	1.00	4.00	0	2.00	2.00	0	0	0	2.00	0	2.00	1.00	3.00	1.00	0	0	0	0	0
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
23S rRNA (guanine(745)-N(1))-methyltransferase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
23S rRNA (guanosine(2251)-2'-O)-methyltransferase	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	3.00	2.00	0	0	1.00	2.00	2.00	1.00	1.00	1.00	0	1.00	1.00	1.00	0	2.00	0	3.00	0	2.00	0	0	1.00	0
23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	0	0	0	1.00	0	1.00	0	0	1.00	1.00	0	0	0	4.00	0	0	0	3.00	0	0	0	1.00	1.00	0
23S rRNA (uracil(1939)-C(5))-methyltransferase	3.00	2.00	0	0	1.00	1.00	12.00	0	3.00	4.00	1.00	3.00	0	4.00	0	5.00	0	8.00	0	1.00	0	3.00	0	1.00
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	0	0	0	0	0	3.00	2.00	1.00	0	2.00	0	0	0	3.00	0	2.00	0	5.00	0	1.00	1.00	0	0	0
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD, partial	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
23S rRNA (uracil(747)-C(5))-methyltransferase	1.00	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23S rRNA (uridine(2552)-2'-O)-methyltransferase	0	0	0	0	0	0	1.00	0	0	0	1.00	1.00	1.00	0	0	0	2.00	3.00	0	0	0	0	0	0
23S rRNA methyltransferase	0	0	0	0	0	0	4.00	0	0	2.00	1.00	0	0	1.00	0	2.00	0	5.00	0	0	0	0	0	0
23S rRNA methyltransferase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
23S rRNA pseudouridine synthase F	0	3.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	4.00	0	0	0	0	0	1.00
23S rRNA pseudouridine(1911/1915/1917) synthase	1.00	0	0	3.00	1.00	0	2.00	0	0	1.00	0	2.00	1.00	0	0	1.00	0	0	0	1.00	0	0	0	1.00
23S rRNA pseudouridine(955/2504/2580) synthase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	2.00	0	2.00	0	0	0	1.00	0	3.00
23S rRNA pseudouridylate synthase B	0	0	1.00	1.00	0	2.00	5.00	0	0	10.00	0	1.00	0	3.00	0	1.00	0	1.00	0	0	0	1.00	0	0
2Fe-2S ferredoxin	0	4.00	0	0	0	1.00	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	0	0	0	1.00	0	1.00
2OG-Fe(II) oxygenase	0	0	0	0	0	0	4.00	0	2.00	5.00	1.00	0	1.00	3.00	1.00	1.00	0	7.00	0	0	0	0	0	0
3'(2'),5'-bisphosphate nucleotidase	0	0	0	0	0	1.00	1.00	0	0	3.00	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0
3'(2'),5'-bisphosphate nucleotidase CysQ	0	0	1.00	0	1.00	2.00	0	0	0	2.00	0	1.00	1.00	1.00	0	2.00	0	1.00	0	1.00	0	0	0	0
3',5'-cyclic-AMP phosphodiesterase	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0	0	0	4.00	0	1.00	2.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
3'-5' exonuclease	0	0	0	0	0	1.00	6.00	0	0	3.00	2.00	0	0	2.00	0	4.00	0	5.00	0	1.00	0	3.00	0	0
3'-5' exonuclease domain-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
3'-5' exoribonuclease YhaM	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3,4-dihydroxy-2-butanone-4-phosphate synthase	3.00	1.00	0	0	0	1.00	5.00	0	1.00	1.00	0	0	0	3.00	0	4.00	0	1.00	0	0	1.00	0	0	0
3,4-dihydroxyphenylacetate 2,3-dioxygenase	0	1.00	0	0	0	4.00	4.00	1.00	1.00	1.00	0	0	3.00	0	1.00	1.00	1.00	2.00	0	0	0	0	0	0
3,4-dioxygenase subunit beta	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-(2,3-dihydroxyphenyl)propionate dioxygenase	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-(3-hydroxy-phenyl)propionate transporter MhpT	0	0	0	0	0	0	0	0	0	0	2.00	0	1.00	0	0	0	1.00	1.00	0	0	0	0	0	0
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00
3-(3-hydroxyphenyl)propionate hydroxylase	0	2.00	0	2.00	0	0	1.00	0	0	3.00	0	0	1.00	2.00	0	0	0	2.00	0	0	0	0	0	0
3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase	0	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0
3-alpha-hydroxysteroid dehydrogenase	1.00	0	0	0	0	1.00	2.00	0	2.00	2.00	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0
3-beta hydroxysteroid dehydrogenase	1.00	0	0	0	0	7.00	4.00	1.00	2.00	2.00	0	1.00	1.00	3.00	2.00	2.00	1.00	8.00	0	0	2.00	0	0	0
3-beta hydroxysteroid dehydrogenase/isomerase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-carboxy-cis,cis-muconate cycloisomerase	0	0	0	0	0	2.00	1.00	0	0	1.00	0	0	1.00	1.00	0	0	0	3.00	0	5.00	0	0	0	1.00
3-carboxymuconate cyclase	0	0	0	0	0	0	2.00	0	0	3.00	1.00	3.00	0	1.00	0	0	0	2.00	0	2.00	0	0	0	0
3-dehydroquinate dehydratase	0	0	0	0	0	1.00	8.00	0	2.00	0	0	2.00	1.00	3.00	0	5.00	0	5.00	0	1.00	0	0	0	0
3-dehydroquinate synthase	2.00	4.00	0	6.00	0	5.00	6.00	0	1.00	6.00	0	2.00	4.00	8.00	0	3.00	0	9.00	0	1.00	1.00	0	1.00	2.00
3-demethylubiquinone-9 3-O-methyltransferase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-deoxy-7-phosphoheptulonate synthase	2.00	0	0	3.00	4.00	7.00	13.00	0	4.00	7.00	0	2.00	1.00	7.00	0	7.00	0	17.00	0	2.00	0	1.00	0	0
3-deoxy-7-phosphoheptulonate synthase class II	3.00	0	0	6.00	2.00	2.00	4.00	0	0	3.00	3.00	1.00	0	0	0	2.00	0	4.00	0	0	0	3.00	0	1.00
3-deoxy-7-phosphoheptulonate synthase, partial	0	0	0	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-deoxy-8-phosphooctulonate synthase	1.00	0	0	0	0	5.00	7.00	0	0	0	0	0	1.00	2.00	0	6.00	0	3.00	0	0	0	0	0	0
3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ	1.00	9.00	5.00	20.00	21.00	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	11.00	2.00	7.00
3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ, partial	0	0	0	3.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-deoxy-D-manno-oct-2-ulosonic acid (Kdo) hydroxylase	0	0	0	0	0	0	2.00	0	0	2.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	0	0	0	0	0	0	4.00	0	0	1.00	0	0	1.00	1.00	0	1.00	0	3.00	0	0	0	0	1.00	0
3-deoxy-D-manno-octulosonic acid transferase	0	0	0	0	1.00	1.00	9.00	0	2.00	4.00	0	0	1.00	6.00	3.00	1.00	0	7.00	0	0	0	1.00	1.00	0
3-deoxy-manno-octulosonate cytidylyltransferase	2.00	0	0	2.00	0	1.00	4.00	0	1.00	4.00	0	0	1.00	2.00	0	2.00	0	1.00	0	1.00	0	1.00	0	0
3-hexulose-6-phosphate synthase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
3-hydroxy-2-methylbutyryl-CoA dehydrogenase	2.00	0	0	0	0	2.00	4.00	0	0	4.00	0	0	0	2.00	0	2.00	0	2.00	0	0	0	2.00	0	0
3-hydroxy-3-methylglutaryl-CoA reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase LsrF	0	0	1.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00
3-hydroxyacyl	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	3.00	0	2.00	0	0	0	0
3-hydroxyacyl-CoA dehydrogenase	5.00	1.00	0	10.00	3.00	13.00	42.00	0	10.00	36.00	3.00	6.00	3.00	39.00	2.00	32.00	0	47.00	0	6.00	1.00	2.00	0	1.00
3-hydroxyacyl-CoA dehydrogenase PaaC	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxyanthranilate 3,4-dioxygenase	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0
3-hydroxybenzoate 6-hydroxylase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxybutyrate dehydrogenase	1.00	0	0	1.00	0	3.00	9.00	0	3.00	6.00	1.00	3.00	0	2.00	1.00	3.00	0	9.00	0	3.00	0	1.00	0	0
3-hydroxybutyrate dehydrogenase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	4.00	0	0	0	0	0	0
3-hydroxybutyryl-CoA dehydratase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxybutyryl-CoA dehydrogenase	0	0	0	1.00	0	1.00	11.00	0	0	3.00	0	0	0	4.00	1.00	6.00	0	12.00	0	3.00	1.00	0	0	0
3-hydroxyisobutyrate dehydrogenase	0	2.00	1.00	2.00	0	0	13.00	0	0	2.00	0	0	0	1.00	2.00	3.00	0	3.00	0	0	0	0	0	0
3-hydroxyisobutyryl-CoA hydrolase	2.00	0	0	0	0	3.00	2.00	0	0	3.00	0	0	1.00	2.00	0	1.00	0	2.00	0	0	0	0	0	0
3-hydroxylacyl-ACP dehydratase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
3-isopropylmalate dehydratase	0	0	0	0	0	0	3.00	0	0	3.00	0	1.00	0	1.00	0	2.00	0	1.00	0	0	0	0	0	0
3-isopropylmalate dehydratase large subunit	6.00	0	0	0	0	8.00	18.00	1.00	7.00	15.00	5.00	5.00	4.00	15.00	5.00	5.00	1.00	17.00	1.00	2.00	1.00	3.00	0	1.00
3-isopropylmalate dehydratase large subunit 2	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-isopropylmalate dehydratase large subunit, partial	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-isopropylmalate dehydratase small subunit	0	0	0	1.00	0	8.00	8.00	0	0	6.00	4.00	1.00	2.00	0	0	3.00	0	7.00	0	3.00	0	0	0	0
3-isopropylmalate dehydratase, partial	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-isopropylmalate dehydrogenase	3.00	2.00	1.00	1.00	0	0	18.00	1.00	1.00	5.00	0	1.00	1.00	6.00	0	7.00	2.00	20.00	1.00	0	0	0	0	6.00
3-keto-5-aminohexanoate cleavage enzyme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
3-keto-5-aminohexanoate cleavage protein	2.00	1.00	0	0	0	7.00	5.00	0	1.00	7.00	2.00	0	4.00	4.00	1.00	1.00	0	8.00	0	2.00	0	1.00	0	0
3-keto-L-gulonate-6-phosphate decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	3.00	1.00	0
3-ketoacyl-ACP reductase	2.00	0	0	0	0	1.00	1.00	1.00	2.00	2.00	0	0	1.00	2.00	0	1.00	0	5.00	1.00	1.00	0	0	0	0
3-ketoacyl-ACP reductase, partial	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0
3-ketoacyl-CoA thiolase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
3-ketosteroid-delta-1-dehydrogenase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
3-mercaptopyruvate sulfurtransferase	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0
3-methyl-2-oxobutanoate dehydrogenase	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha	0	1.00	0	0	0	2.00	0	0	1.00	1.00	3.00	2.00	0	3.00	2.00	0	0	2.00	0	3.00	0	0	0	0
3-methyl-2-oxobutanoate dehydrogenase subunit VorB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
3-methyl-2-oxobutanoate hydroxymethyltransferase	1.00	0	0	1.00	0	1.00	7.00	0	0	3.00	0	0	0	5.00	0	2.00	0	3.00	0	1.00	1.00	1.00	0	0
3-methyl-2-oxobutanoate hydroxymethyltransferase, partial	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-methyladenine DNA glycosylase	0	0	0	0	0	1.00	2.00	0	1.00	5.00	0	0	0	2.00	0	1.00	0	0	2.00	6.00	0	0	0	1.00
3-methyladenine DNA glycosylase 2	0	0	0	0	0	1.00	1.00	0	2.00	2.00	0	1.00	2.00	1.00	0	0	0	4.00	1.00	1.00	0	0	0	0
3-methylcrotonoyl-CoA carboxylase subunit beta	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-methylcrotonyl-CoA carboxylase	0	0	0	0	2.00	4.00	10.00	0	3.00	7.00	6.00	6.00	2.00	5.00	0	8.00	0	10.00	0	0	0	4.00	0	0
3-methylcrotonyl-CoA carboxylase subunit alpha	0	0	0	2.00	0	1.00	2.00	0	1.00	1.00	0	0	1.00	1.00	0	2.00	1.00	3.00	0	0	0	0	0	0
3-methylitaconate isomerase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	3.00	0	1.00	0	0	0	0	0	0	0	0
3-octaprenyl-4-hydroxybenzoate carboxy-lyase	0	0	0	0	2.00	0	5.00	0	0	3.00	0	0	0	4.00	0	3.00	0	2.00	0	0	0	0	0	0
3-octaprenyl-4-hydroxybenzoate decarboxylase	0	0	0	1.00	4.00	0	6.00	0	1.00	3.00	1.00	0	0	3.00	1.00	0	0	4.00	0	1.00	0	0	0	0
3-oxoacyl	0	0	0	0	0	0	3.00	0	1.00	0	0	0	0	1.00	0	1.00	0	1.00	0	1.00	2.00	0	0	0
3-oxoacyl-ACP reductase	2.00	1.00	0	1.00	0	8.00	22.00	1.00	3.00	9.00	11.00	13.00	8.00	15.00	1.00	12.00	1.00	23.00	0	5.00	0	2.00	0	0
3-oxoacyl-ACP reductase FabG	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	1.00	0	1.00	0	0	0
3-oxoacyl-ACP reductase, partial	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-oxoacyl-ACP synthase	5.00	0	1.00	2.00	0	1.00	10.00	0	1.00	1.00	0	2.00	0	5.00	2.00	0	0	8.00	0	1.00	0	0	0	0
3-oxoacyl-ACP synthase III	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
3-oxoacyl-ACP synthase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
3-oxoadipate CoA-transferase	0	0	0	0	0	0	2.00	0	0	2.00	0	0	0	1.00	0	3.00	0	1.00	0	0	0	0	0	0
3-oxoadipate CoA-transferase subunit A	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-oxoadipate CoA-transferase subunit B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
3-oxoadipate enol-lactonase	0	0	0	0	0	0	1.00	1.00	1.00	7.00	0	2.00	0	0	0	2.00	0	10.00	0	1.00	1.00	0	0	0
3-oxoadipate enol-lactone hydrolase	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-oxoadipate--succinyl-CoA transferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
3-oxoadipyl-CoA thiolase	0	0	0	0	0	2.00	5.00	0	0	3.00	0	0	1.00	1.00	0	4.00	0	5.00	2.00	1.00	0	0	0	0
3-oxosteroid 1-dehydrogenase	0	0	0	0	0	1.00	1.00	1.00	0	1.00	0	0	0	2.00	0	0	0	1.00	1.00	0	0	0	0	0
3-phenylpropionate MFS transporter	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-phenylpropionate dioxygenase	0	0	1.00	5.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
3-phenylpropionate/cinnamic acid dioxygenase subunit beta	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-phenylpropionic acid transporter	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0
3-phosphoglycerate dehydrogenase	1.00	4.00	0	0	1.00	3.00	10.00	0	2.00	4.00	0	3.00	0	5.00	0	7.00	0	1.00	1.00	5.00	0	1.00	0	0
3-phosphoserine/phosphohydroxythreonine aminotransferase	0	0	0	2.00	0	0	0	0	1.00	0	0	0	0	2.00	0	0	0	2.00	0	0	0	0	0	0
3-phosphoshikimate 1-carboxyvinyltransferase	5.00	4.00	2.00	0	0	2.00	7.00	1.00	4.00	4.00	1.00	3.00	5.00	5.00	0	6.00	0	5.00	0	1.00	2.00	0	1.00	1.00
3-phosphoshikimate 1-carboxyvinyltransferase, partial	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00
3-phytase	0	0	0	2.00	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0
3-polyprenyl-4-hydroxybenzoate decarboxylase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0
30S ribosomal protein S1	2.00	2.00	4.00	2.00	1.00	7.00	21.00	2.00	11.00	7.00	2.00	3.00	2.00	10.00	10.00	8.00	0	21.00	0	3.00	6.00	0	2.00	0
30S ribosomal protein S1, partial	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
30S ribosomal protein S10	1.00	0	0	0	0	3.00	6.00	0	3.00	1.00	0	0	1.00	2.00	0	3.00	0	7.00	0	0	2.00	1.00	1.00	0
30S ribosomal protein S10, partial	0	0	0	0	0	8.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30S ribosomal protein S11	0	1.00	2.00	0	0	9.00	10.00	3.00	2.00	1.00	0	0	0	0	0	1.00	0	5.00	0	1.00	2.00	0	0	0
